INBOX,h@gmail.com,20231215193444444.msg,read
SPAM,h@gmail.com,20231215195358673.msg,unread
IMPORTANT,h@gmail.com,20231215202525088.msg,unread
IMPORTANT,h@gmail.com,20231215202910884.msg,unread
WORK,h@gmail.com,20231215212508128.msg,unread
WORK,h@gmail.com,20231215213316960.msg,unread
WORK,h@gmail.com,20231215214114502.msg,unread
WORK,h@gmail.com,20231215214711318.msg,unread
PROJECT,nhi@gmail.com,20231215220018936.msg,unread
PROJECT,nhu@gmail.com,20231215232828071.msg,unread
WORK,h@gmail.com,20231215234635722.msg,unread
INBOX,h@gmail.com,20231216110457024.msg,read
